OBJ: TObjArray	TObjArray	An array of objects : 0
 OBJ: TBranch	FatJet_deepTagMD_ZvsQCD	Mass-decorrelated DeepBoostedJet tagger Z vs QCD discriminator : 0 at: 0x61b79a0
 OBJ: TBranch	FatJet_deepTagMD_bbvsLight	Mass-decorrelated DeepBoostedJet tagger Z/H/gluon->bb vs light flavour discriminator : 0 at: 0x61bb630
 OBJ: TBranch	FatJet_deepTagMD_ccvsLight	Mass-decorrelated DeepBoostedJet tagger Z/H/gluon->cc vs light flavour discriminator : 0 at: 0x61bf2e0
 OBJ: TBranch	FatJet_deepTag_H	DeepBoostedJet tagger H(bb,cc,4q) sum : 0 at: 0x61c2f90
 OBJ: TBranch	FatJet_deepTag_QCD	DeepBoostedJet tagger QCD(bb,cc,b,c,others) sum : 0 at: 0x61c6c00
 OBJ: TBranch	FatJet_deepTag_QCDothers	DeepBoostedJet tagger QCDothers value : 0 at: 0x61ca870
 OBJ: TBranch	FatJet_deepTag_TvsQCD	DeepBoostedJet tagger top vs QCD discriminator : 0 at: 0x61ce4f0
 OBJ: TBranch	FatJet_deepTag_WvsQCD	DeepBoostedJet tagger W vs QCD discriminator : 0 at: 0x61d2160
 OBJ: TBranch	FatJet_deepTag_ZvsQCD	DeepBoostedJet tagger Z vs QCD discriminator : 0 at: 0x61d5dd0
 OBJ: TBranch	FatJet_eta	eta : 0 at: 0x61d9a40
 OBJ: TBranch	FatJet_mass	mass : 0 at: 0x61dd610
 OBJ: TBranch	FatJet_msoftdrop	Corrected soft drop mass with PUPPI : 0 at: 0x61e11e0
 OBJ: TBranch	FatJet_n2b1	N2 with beta=1 : 0 at: 0x61e4e50
 OBJ: TBranch	FatJet_n3b1	N3 with beta=1 : 0 at: 0x61e8a20
 OBJ: TBranch	FatJet_phi	phi : 0 at: 0x61ec5f0
 OBJ: TBranch	FatJet_pt	pt : 0 at: 0x61f01c0
 OBJ: TBranch	FatJet_rawFactor	1 - Factor to get back to raw pT : 0 at: 0x61f3d90
 OBJ: TBranch	FatJet_tau1	Nsubjettiness (1 axis) : 0 at: 0x61f7a00
 OBJ: TBranch	FatJet_tau2	Nsubjettiness (2 axis) : 0 at: 0x61fb600
 OBJ: TBranch	FatJet_tau3	Nsubjettiness (3 axis) : 0 at: 0x61ff200
 OBJ: TBranch	FatJet_tau4	Nsubjettiness (4 axis) : 0 at: 0x6202e00
 OBJ: TBranch	FatJet_lsf3	Lepton Subjet Fraction (3 subjets) : 0 at: 0x6206a00
 OBJ: TBranch	FatJet_jetId	Jet ID flags bit1 is loose (always false in 2017 since it does not exist), bit2 is tight, bit3 is tightLepVeto : 0 at: 0x620a610
 OBJ: TBranch	FatJet_subJetIdx1	index of first subjet : 0 at: 0x620e260
 OBJ: TBranch	FatJet_subJetIdx2	index of second subjet : 0 at: 0x6211ec0
 OBJ: TBranch	FatJet_electronIdx3SJ	index of electron matched to jet : 0 at: 0x6215b20
 OBJ: TBranch	FatJet_muonIdx3SJ	index of muon matched to jet : 0 at: 0x6219790
 OBJ: TBranch	nFsrPhoton	Final state radiation photons emitted by muons : 0 at: 0x621d3f0
